Resturant id,Wine Name,Wine Type,Wine Price,Company Name,Location,Tasting Score
89,Dievole,Fortified,47.43,NaN,"Tuscany,Italy",85.5
90,Fontodi,Sparkling,59.78,Filetta di Lamole,"Tuscany,Italy",97.1
91,Fattoria La Ripa,White,72.73,Gran Selezione,"Tuscany,Italy",88.9
92,Melini,Red,62.42,Vigneti La Selvanella Riserva,"Tuscany,Italy",80.5
93,Tenuta di Arceno,Rosé,96.68,Strada al Sasso Riserva,"Tuscany,Italy",89.7
94,Vegi,Dessert,66.7,Silvio Chiostri Riserva,"Tuscany,Italy",80.9
95,Castell’in Villa,Sparkling,54.28,Poggio delle Rose Riserva,"Tuscany,Italy",85.9
96,Carpineto,Red,55.18,NaN,"Tuscany,Italy",85.2
97,Castello di Ama,Red,65.26,NaN,"Tuscany,Italy",87.3
98,Castello Vicchiomaggio,Sparkling,65.63,Guado Alto,"Tuscany,Italy",92.4
99,Fèlsina,Dessert,43.91,NaN,"Tuscany,Italy",85.5
100,Antinori,Dessert,61.91,Pèppoli,"Tuscany,Italy",88.8
101,Querceto di Castellina,Fortified,65.85,L'Aura,"Tuscany,Italy",87.4
102,Rocca di Castagnoli,Rosé,16.49,NaN,"Tuscany,Italy",85.5
103,Castello di Bossi,Sparkling,65.97,NaN,"Tuscany,Italy",98.6
104,Fontodi,Sparkling,14.67,NaN,"Tuscany,Italy",85.9
105,I Sodi,Sparkling,57.49,NaN,"Tuscany,Italy",85.5
106,Livernano,Dessert,15.15,Casalvento,"Tuscany,Italy",91.0
107,Antica Fattoria Machiavelli,Red,97.43,Vigna di Fontalle,"Tuscany,Italy",84.7
108,Rocca di Montegrossi,White,20.81,NaN,"Tuscany,Italy",82.1
109,San Felice,Sparkling,68.33,Poggio Rosso,"Tuscany,Italy",95.2
110,I Sodi,Dessert,78.77,NaN,"Tuscany,Italy",97.8
111,Il Molino di Grace,White,22.77,Il Margone,"Tuscany,Italy",91.2
112,Fattoria Le Fonti,Fortified,17.59,NaN,"Tuscany,Italy",93.2
113,Lornano,Rosé,42.19,Le Bandite,"Tuscany,Italy",82.8
114,Podere Torcilacqua,Fortified,34.52,NaN,"Tuscany,Italy",81.5
115,Rocca delle Macie,Sparkling,86.53,Famiglia Zingarelli,"Tuscany,Italy",94.0
116,Vicchiomaggio,Rosé,52.55,Agostino Petri,"Tuscany,Italy",81.9
117,Villa del Cigliano,Fortified,61.21,NaN,"Tuscany,Italy",82.2
118,Fattoria Le Fonti,Rosé,41.8,NaN,"Tuscany,Italy",83.5
119,Terra di Seta,White,32.25,Assai,"Tuscany,Italy",90.7
120,Vignamaggio,Fortified,49.76,Gherardino,"Tuscany,Italy",83.1
121,Montesecondo,Rosé,85.69,NaN,"Tuscany,Italy",92.6
122,Castello di Ama,Red,36.33,Ama,"Tuscany,Italy",83.5
123,Podere Castellinuzza,Red,98.3,NaN,"Tuscany,Italy",86.1
124,Castello di Volpaia,Dessert,61.4,NaN,"Tuscany,Italy",90.0
125,Istine,White,90.08,Vigna Cavarchione,"Tuscany,Italy",84.8
126,Istine,White,91.56,Vigna Istine,"Tuscany,Italy",84.5
127,Principe Corsini Villa Le Corti,Sparkling,22.02,Villa Le Corti,"Tuscany,Italy",91.6
128,Castellare di Castellina,Rosé,32.26,Riserva,"Tuscany,Italy",98.2
129,Castello di Querceto,White,21.66,Riserva,"Tuscany,Italy",87.2
130,Monte Bernardi,Red,87.02,Sa'etta Riserva,"Tuscany,Italy",81.7
131,Istine,Fortified,18.22,Levigne Riserva,"Tuscany,Italy",92.1
132,Riecine,White,19.57,Vigna Gittori Gran Selezione,"Tuscany,Italy",97.8
133,Bibbiano,Rosé,43.8,Vigna del Capannino Gran Selezione,"Tuscany,Italy",81.7
134,Rocca delle Macie,Rosé,77.95,Tenuta di Fizzano Gran Selezione,"Tuscany,Italy",91.0
135,Tenuta di Arceno,White,88.56,Strada al Sasso Gran Selezione,"Tuscany,Italy",83.0
136,Mangiacane,White,91.78,Riserva,"Tuscany,Italy",91.0
137,Montefioralle,Rosé,87.82,Riserva,"Tuscany,Italy",92.1
138,Renzo Marinai,Rosé,12.84,Riserva,"Tuscany,Italy",84.8
139,Castello di Volpaia,Fortified,55.08,Coltassala Gran Selezione,"Tuscany,Italy",84.8
140,Le Miccine,Sparkling,68.68,NaN,"Tuscany,Italy",86.7
141,Castello di Monsanto,Sparkling,71.98,Il Poggio,"Tuscany,Italy",87.3
142,Querciabella,Sparkling,90.59,NaN,"Tuscany,Italy",88.5
143,Castello di Ama,Red,31.93,San Lorenzo,"Tuscany,Italy",99.7
144,Istine,White,36.41,Vigna Istine,"Tuscany,Italy",93.4
145,Val delle Corti,Fortified,30.75,NaN,"Tuscany,Italy",89.6
146,Carobbio,Red,10.05,NaN,"Tuscany,Italy",81.3
147,Fontodi,White,14.92,NaN,"Tuscany,Italy",96.9
148,Istine,Fortified,93.94,Vigna Casanova dell'Aia,"Tuscany,Italy",91.7
149,Jurij Fiore e Figlia,Sparkling,23.82,Porcacciamiseria,"Tuscany,Italy",99.5
150,Rocca di Montegrossi,White,91.69,NaN,"Tuscany,Italy",92.2
151,Duca di Dolle,Fortified,75.82,Nino,"Veneto,Italy",80.2
152,Villa Sandi,White,16.85,NaN,"Veneto,Italy",89
153,Vite Colte,Rosé,16.25,Cà da Bosio,"Piedmont,Italy",96.9
154,Manuelina,Red,59.56,Filare 52,"Lombardy,Italy",95.8
155,Tenuta San Leonardo,White,44.23,Carmenère,"Trentino-Alto Adige,Italy",92.7
156,Asda,Red,34.57,NaN,"Abruzzo,Italy",82.8
157,Castello Gabiano,Fortified,32.85,A Matilde Giustiuani Riserva,"Piedmont,Italy",95.8
158,Château de Haute-Serre,Dessert,38.63,Grand Malbec,"Southwest France,France",90.7
159,Château de Haute-Serre,Fortified,58.96,Opuscule de Haute-Serre Prunelard 127,"Southwest France,France",82.9
160,Famille Quiot,Rosé,76.9,Château du Trignon,"Rhône,France",95.6
161,Gemstone,Sparkling,75.84,Alluvial Selection Estate Cabernet Sauvignon,"California,USA",99.6
162,Gemstone,Red,63.16,Heritage Selection Estate Cabernet Sauvignon,"California,USA",83.1
163,Gemstone,Sparkling,36.5,Cabernet Sauvignon,"California,USA",95.6
164,Quintara,Fortified,16.4,Chardonnay,"California,USA",90.6
165,Harmony and Soul,Fortified,90.3,Cabernet Sauvignon,"California,USA",91.0
166,Monteverro,Fortified,43.04,Monteverro,"Tuscany,Italy",82.8
167,William Heritage,Red,38.58,Reserve BDX Blanc,"New Jersey,USA",93
168,Living Roots Wine & Co.,Fortified,58.09,Shale Creek Chardonnay,"New York State,USA",93
169,Amity Vineyards,Rosé,17.54,Bass Hill Pinot Noir,"Oregon,USA",92
170,Parajes del Valle,Dessert,75.72,Macabeo Maceración,"Manchuela,Spain",92
171,Big Table Farm,Rosé,98.92,Chardonnay,"Oregon,USA",90.3
172,King's Ridge,Rosé,93.8,Pinot Gris,"Oregon,USA",91.1
173,North Valley Vineyards,Red,68.1,Reserve Pinot Noir,"Oregon,USA",96.0
174,North Valley Vineyards,Dessert,45.84,Classic Pinot Noir,"Oregon,USA",84.6
175,Ojai Mountain,Fortified,77.81,Red Blend,"California,USA",85.3
176,Amity Vineyards,White,24.63,White Pinot Noir,"Oregon,USA",88.5
177,North Valley Vineyards,White,26.38,Reserve Chardonnay,"Oregon,USA",83.7
178,Ojai Mountain,Dessert,35.48,Syrah,"California,USA",87.4
179,Amity Vineyards,White,87.99,Pinot Noir,"Oregon,USA",90.2
180,Au Bon Climate,Dessert,12.33,Knox Alexander,"California,USA",91.0
181,Podere Sapaio,Red,70.08,NaN,"Tuscany,Italy",93.5
182,Podere Sapaio,White,71.46,NaN,"Tuscany,Italy",80.4
183,Podere Roseto,White,52.61,NaN,"Tuscany,Italy",89.4
184,Podere Prospero,White,74.37,NaN,"Tuscany,Italy",83.2
185,PietraNova,Fortified,87.49,1698,"Tuscany,Italy",83.7
186,Villanoviana,Dessert,70.23,Imeneo,"Tuscany,Italy",88.3
187,Terre dei Ghelfi,Red,14.29,No Solfiti Rosso,"Tuscany,Italy",91.2
188,Tenuta Sette Cieli,Rosé,49.8,Noi4,"Tuscany,Italy",84.2
189,Tenuta Meraviglia,White,97.88,NaN,"Tuscany,Italy",98.5
190,Tenuta Le Colonne,Rosé,47.49,NaN,"Tuscany,Italy",87.2
191,Tenuta di Vaira,Red,85.0,Caccia al Palazzo,"Tuscany,Italy",89.5
192,Tenuta di Vaira,Dessert,10.63,Notti di Luna,"Tuscany,Italy",92.6
193,Tenuta Campo al Signore,Sparkling,27.86,Volante,"Tuscany,Italy",81.1
194,Tenuta Argentiera,Rosé,83.84,Villa Donoratico,"Tuscany,Italy",93.9
195,Serni Fulvio Luigi,Dessert,99.15,Tegoleto,"Tuscany,Italy",81.6
196,T-Oinos,Sparkling,23.06,Clos Stegasta Assyrtiko,"Aegean Islands,Greece",98.1
197,T-Oinos,White,52.39,Clos Stegasta Rosé,"Aegean Islands,Greece",82.7
198,T-Oinos,Fortified,39.64,Mavrosé,"Aegean Islands,Greece",89.9
199,Tenuta San Leonardo,Sparkling,41.13,NaN,"Trentino-Alto Adige,Italy",84.2
200,Monchiero,Sparkling,78.63,NaN,"Piedmont,Italy",87.5
201,Pieropan,Fortified,90.51,La Rocca,"Veneto,Italy",88.3
202,Pievalta,Fortified,81.22,San Paolo,"Le Marche,Italy",80.4
203,Manenti,Red,89.73,Frappato,"Sicily,Italy",98.9
204,Terre Stregate,Red,84.89,Svelato,"Campania,Italy",93.0
205,Terenzuola,Rosé,45.88,Fosso di Corsano Vermentino,"Liguria,Italy",85.5
206,Serafica,Rosé,86.55,Grotta dei Lamponi Rosato,"Sicily,Italy",89.2
207,Kaltern,White,55.07,Leuchtenberg,"Trentino-Alto Adige,Italy",96.8
208,Antinori,White,61.63,Badia a Passignano,"Tuscany,Italy",97.8
209,Gordon Ramsay,Dessert,15.19,Pinot Grigio,"Veneto,Italy",88
210,Fattoria Petrolo,Sparkling,28.27,Galatrona,"Tuscany,Italy",98.8
211,World's End,White,55.8,Rebel Rebel Reserve Sauvignon Blanc,"California,USA",89.6
212,Velvet Sky,Fortified,43.3,Buttery Chardonnay,"California,USA",83.6
213,Latista,Dessert,14.62,Winemaker's Reserve Chardonnay,"California,USA",90.6
214,Argosy,Fortified,99.19,Red Blend Winemaker's Reserve,"California,USA",96.7
215,Annulus Cellars,Red,95.28,Vine Hill Ranch Vineyard Cabernet Sauvignon,"California,USA",97.8
216,Annulus Cellars,White,34.19,Cabernet Sauvignon,"California,USA",86.0
217,Quinta Milú,Rosé,67.25,La Cometa,"Castilla y Léon,Spain",99.6
218,Pagos de Anguix,White,52.51,Costalara,"Castilla y Léon,Spain",96.6
219,Cruz de Alba,Rosé,77.86,Finca Los Hoyales,"Castilla y Léon,Spain",93.2
220,Annulus Cellars,Fortified,29.03,Las Piedras Cabernet Sauvignon,"California,USA",83.7
221,Dominio del Aguila,Fortified,44.12,Reserva,"Castilla y Léon,Spain",95.6
222,Ausàs Bodegas y Viñedos,Fortified,61.52,Interpretación,"Castilla y Léon,Spain",91.9
223,Magna Vides,White,93.1,Tinto,"Castilla y Léon,Spain",99.4
224,El Grifo,Sparkling,23.89,Lías,"The Islands,Spain",89.1
225,Cantina Orsogna,Red,30.28,Spiritus Terrae,"Abruzzo,Italy",98.3
226,Amici,Rosé,87.4,Beckstoffer Missouri Hopper Vineyard Cabernet Sauvignon,"California,USA",97.2
227,BRION,Dessert,72.82,Caldwell Vineyard Cabernet Sauvignon,"California,USA",95.5
228,BRION,Sparkling,12.19,Oakville Ranch Vineyard Cabernet Sauvignon,"California,USA",88.6
229,Cliff Lede,Red,37.9,Songbook Cabernet Sauvignon,"California,USA",82.8
230,Le Mortelle,Sparkling,83.16,Poggio Alle Nane,"Tuscany,Italy",88.8
231,Le Mortelle,Red,47.07,Botrosecco,"Tuscany,Italy",90.8
232,Antinori,Red,66.52,Tignanello,"Tuscany,Italy",80.8
233,Antinori,Fortified,56.89,Tenuta Tignanello Marchese Antinori,"Tuscany,Italy",81.3
234,Antinori,Fortified,11.24,Villa Antinori,"Tuscany,Italy",98.8
235,Antinori,Dessert,27.15,Pèppoli,"Tuscany,Italy",84.2
236,Frescobaldi,Red,40.63,Tenuta Ammiraglia Alìe Rosé,"Tuscany,Italy",90
237,Barone Ricasoli,Fortified,15.66,Castello di Brolio,"Tuscany,Italy",81.4
238,Sancaba,Fortified,69.25,Bianco,"Tuscany,Italy",91.8
239,Tenuta di Trinoro,Sparkling,38.3,Bianco Trinoro,"Tuscany,Italy",92.7
240,Tenuta di Trinoro,White,48.88,Le Cupole,"Tuscany,Italy",87.8
241,Tres Perlas,White,80.65,The Barber Cabernet Sauvignon,"California,USA",83.3
242,TOR Wines,Rosé,99.49,Beckstoffer To Kalon Vineyard BFD Cabernet Sauvignon,"California,USA",97.6
243,TOR Wines,White,57.2,Beckstoffer To Kalon Vineyard Cabernet Sauvignon,"California,USA",98.8
244,TOR Wines,White,23.41,Melanson Vineyard Cabernet Sauvignon,"California,USA",90.1
245,The Debate,White,52.41,Harbison Vineyard Cabernet Sauvignon,"California,USA",96.0
246,Pulido-Walker,Fortified,97.78,Melanson Cabernet Sauvignon,"California,USA",94.6
247,Outpost,Fortified,24.62,True Vineyard Cabernet Sauvignon,"California,USA",80.5
248,Lail Vineyards,Dessert,28.13,J. Daniel Cuvée Cabernet Sauvignon,"California,USA",82.1
249,Kinsman Eades,Fortified,24.61,Rhadamanthus Cabernet Sauvignon,"California,USA",81.7
250,Kinsman Eades,Red,93.3,Anjea Sleeping Lady Vineyard Cabernet Sauvignon,"California,USA",92.4
251,Fairest Creature,Fortified,31.58,Polyspline,"California,USA",81.5
252,Corison,Red,70.73,Sunbasket Vineyard Cabernet Sauvignon,"California,USA",91.3
253,Band of Vintners,White,16.98,Cabernet Sauvignon,"California,USA",90
254,Spottswoode,Sparkling,41.88,Lyndenhurst Cabernet Sauvignon,"California,USA",94.5
255,Parable,Rosé,93.34,Vangone Vineyard Cabernet Sauvignon,"California,USA",90.7
256,Paul Hobbs,Fortified,66.95,Beckstoffer Las Piedras Vineyard Cabernet Sauvignon,"California,USA",85.0
257,Paul Hobbs,White,38.53,Nathan Coombs Estate Cabernet Sauvignon,"California,USA",93.5
258,B Cellars,Sparkling,47.32,Beckstoffer Missouri Hopper Cabernet Sauvignon,"California,USA",94.9
259,B Cellars,Sparkling,49.93,Beckstoffer To Kalon Cabernet Sauvignon,"California,USA",97.5
260,AXR,Fortified,90.66,AxR1 Cabernet Sauvignon,"California,USA",86.7
261,JH Wheeler,Rosé,28.44,Sleeping Lady Vineyard Cabernet Sauvignon,"California,USA",87.6
262,Ad Vivum,Red,74.72,Sleeping Lady Vineyard Cabernet Sauvignon,"California,USA",86.4
263,La Jota,Sparkling,95.47,Cabernet Sauvignon,"California,USA",91.3
264,Stag's Leap Wine Cellars,Fortified,33.35,Cask 23 Cabernet Sauvignon,"California,USA",95.5
265,Harlan Estate,Rosé,12.44,Cabernet Sauvignon,"California,USA",83.0
266,Opus One,Dessert,27.03,Red Wine,"California,USA",87.4
267,Lokoya,Dessert,35.4,Spring Mountain Cabernet Sauvignon,"California,USA",98.7
268,Screaming Eagle,Sparkling,22.35,Cabernet Sauvignon,"California,USA",88.9
269,La Pelle,White,11.52,Red Hen Vineyard Cabernet Sauvignon,"California,USA",89.1
270,La Pelle,Sparkling,27.41,Ceniza Vineyard Cabernet Sauvignon,"California,USA",93.7
271,Purlieu,White,20.64,Sugarloaf Mountain Vineyard Cabernet Sauvignon,"California,USA",97.7
272,Purlieu,Dessert,45.4,Beckstoffer Missouri Hopper Cabernet Sauvignon,"California,USA",80.6
273,Purlieu,Fortified,28.48,Beckstoffer Georges III Cabernet Sauvignon,"California,USA",86.7
274,Julien Fayard,Red,53.16,Classic Cabernet Sauvignon,"California,USA",98.0
275,Purlieu,Rosé,52.95,Sleeping Lady Vineyard Cabernet Sauvignon,"California,USA",91.8
276,Purlieu,Dessert,45.29,Napa Valley Cabernet Sauvignon,"California,USA",81.8
277,Covert Estate,Fortified,94.99,Estate Cabernet Sauvignon Clone 337 / 191,"California,USA",89.3
278,La Pelle,Fortified,57.87,Alluvium Vineyard Cabernet Sauvignon,"California,USA",91.8
279,Macauley Vineyard,White,19.79,Stagecoach Cabernet Sauvignon,"California,USA",85.4
280,Adamvs,Dessert,77.23,Quintvs Estate Cabernet Sauvignon,"California,USA",87.3
281,Adamvs,White,58.08,Téres Estate Cabernet Sauvignon,"California,USA",89.5
282,Adamvs,Sparkling,18.83,Cabernet Sauvignon,"California,USA",84.0
283,Gibbs Vineyards,Sparkling,67.02,Three Clones Cabernet Sauvignon,"California,USA",84.4
284,CVNE,Rosé,85.36,Real de Asúa Carromaza,"Northern Spain,Spain",84.2
285,Virgen del Galir,Sparkling,27.12,Regueirón,"Galicia,Spain",86.3
286,Priest Ranch,Dessert,77.28,Somesrton Vineyards Cabernet Sauvignon,"California,USA",90.1
287,Terra Solis,Fortified,27.56,CABi Cabernet Sauvignon,"California,USA",82.1
288,Tres Perlas,Fortified,34.28,360 Vineyard Cabernet Sauvignon,"California,USA",89.8
289,Vin Soleil,Sparkling,31.0,Cabernet Sauvignon,"California,USA",83.2
290,World's End,Rosé,72.55,Crossfire Beckstoffer Missouri Hipper Vineyard Cabernet Sauvignon,"California,USA",99.8
291,World's End,White,44.92,"Good Times, Bad Times Beckstoffer To Kalon Vineyard Cabernet Sauvignon","California,USA",88.2
292,Bacio Divino,Sparkling,33.45,Janzen Cabernet Sauvignon,"California,USA",95.1
293,Lail Vineyards,Red,93.35,Blueprint Cabernet Sauvignon,"California,USA",82.7
294,Larkmead,Red,17.81,Estate Cabernet Sauvignon,"California,USA",85.7
295,Les Grands Chais de France,Rosé,15.74,Lost Parcels Cabernet Sauvignon,"California,USA",99.0
296,Macauley Vineyard,Fortified,41.63,Cabernet Sauvignon,"California,USA",80.2
297,Michel Rolland,Red,88.71,Cabernet Sauvignon,"California,USA",85.4
298,Patria,Dessert,78.63,A. Price Vineyard Cabernet Sauvignon,"California,USA",83.3
299,Paul Hobbs,Fortified,65.53,Cristina's Signature Nathan Coombs Estate,"California,USA",83.5
300,Philip Togni,Dessert,42.16,Tanbark Hill Cabernet Sauvignon,"California,USA",88.3
301,Nicolas Maillart,Red,70.68,Mont Martin,"Champagne,France",95.4
302,Cal Bessó-Encastell,Red,55.47,Coret Rosat,"Catalonia,Spain",97.6
303,Emilio Moro,Sparkling,71.62,Elalba,"Ribera del Duero,Spain",84.8
304,Esteban Martín,Fortified,54.76,Garnacha,"Aragón,Spain",89.4
305,Finca Museum,Rosé,18.9,Museum Rosé,"Castilla y Léon,Spain",96.0
306,Las Pedreras,Fortified,41.67,Arquitón,"Castilla y Léon,Spain",95.2
307,Marqués del Atrio,Rosé,73.16,Rosado,"Northern Spain,Spain",84.5
308,Pagos de Araïz,Red,26.65,Rosé,"Navarra,Spain",89.2
309,Perinet,White,60.93,Rosé,"Catalonia,Spain",83.7
310,Alvia,Sparkling,26.63,Livius Rosado,"Northern Spain,Spain",99.9
311,Aroa,Rosé,77.47,Larrosa,"Navarra,Spain",89.5
312,Bodegas Bilbaínas,Sparkling,27.73,Viña Pomal Rosado,"Northern Spain,Spain",85.5
313,Bodegas Riojanas,White,61.89,Monte Real Rosé,"Northern Spain,Spain",98.9
314,Celler del Roure,Rosé,99.2,Les Prunes Blanc de Mandó,"Valencia,Spain",85.6
315,El Coto,Fortified,45.41,Rosado,"Northern Spain,Spain",96.8
316,Mirror,Red,96.77,Cabernet Sauvignon,"California,USA",86.9
317,Oleandri,Sparkling,57.77,Cabernet Sauvignon,"California,USA",95.9
318,Pine Ridge Vineyards,Dessert,74.7,Cabernet Sauvignon,"California,USA",93.2
319,Trespass Vineyard,Fortified,53.03,Estate Cabernet Sauvignon,"California,USA",91.7
320,Sunshine Valley Vineyards,Rosé,76.43,Cabernet Sauvignon,"California,USA",87.2
321,V. Sattui Winery,Sparkling,79.83,Vangone Vineyard Cabernet Sauvignon,"California,USA",90.2
322,Eleven Eleven,Sparkling,87.3,XI Cabernet Sauvignon,"California,USA",94.9
323,Bennett Lane,Red,58.03,Reserve Cabernet Sauvignon,"California,USA",99.7
324,Precision Wine Company,Sparkling,15.57,Method Cabernet Sauvignon,"California,USA",81.7
325,Bennett Lane,Red,64.03,Cabernet Sauvignon,"California,USA",84.5
326,Razi,Fortified,63.38,Cabernet Sauvignon,"California,USA",90.1
327,Beaulieu Vineyard,Dessert,77.48,Cabernet Sauvignon,"California,USA",95.4
328,Nicolas Jay,Fortified,92.43,Spirit Hill Chardonnay,"Oregon,USA",92.8
